序号,标题,内容,Title,Content
95,虎牙行,秋风歘吸吹南国，天地惨惨无颜色。洞庭扬波江汉回，虎牙铜柱皆倾侧。巫峡阴岑朔漠气，峰峦窈窕溪谷黑。杜鹃不来猿狖寒，山鬼幽阴雪霜逼。楚老长嗟忆炎瘴，三尺角弓两斛力。壁立石城横塞起，金错旌竿满云直。渔阳突骑猎青丘，犬戎锁甲围丹极。八荒十年防盗贼，征戍诛求寡妻哭，远客中宵泪沾臆。,Ballad of Tigertooth,"The autumn wind in a whish blows on the southern domains, 
Heaven and Earth are dreary and lack all color.
Waves rise on Lake Dongting, Yangzi and Han swirl,
Tigertooth and Bronze Column both lean over.
The Wu Gorge's shadowy summits have northern desert atmosphere, 
peaks and ridges hidden away, stream gulches and valleys black.
The cuckoo does not come, apes and gibbons are cold,
the mountain wraith secluded in misery, hard-pressed by frost and snow.
Old men of Chu give long sighs recalling miasmal heat,
a horn bow three feet long needs two stones of weight to pull. 
On the cliff stands a stone castle, rising athwart the frontier,
flag-staffs with golden inlay rise straight up filling the clouds. 
The cataphracts from Yuyang bagged Green Hill as their game, 
the chain mail of the Dog Rong was heard at the red ridgepole. 
A decade in the encircling wastes defending against marauders,
far garrisons and tax demands, widowed wives weep, 
a far traveler at midnight soaks his chest with tears."
96,江梅,梅蕊腊前破，梅花年后多。绝知春意好，最奈客愁何。雪树元同色，江风亦自波。故园不可见，巫岫郁嵯峨。,River Plum,"
The plum buds break open before the La festival,
even more plum blossoms come after the year changes. 
I know full well that spring's intentions are good,
but most of all, I can't help a sojourner's sadness. 
The snow-like trees are essentially the same color, 
the river wind here too raises waves.
But I cannot see the gardens of home -
Mount Wu's peaks swell up towering."
97,入宅三首（其二）,乱后居难定， 春归客未还。 水生鱼复浦， 云暖麝香山。 半顶梳头白， 过眉拄杖斑。 相看多使者， 一一问函关。,"
Moving Into My Cottage II","After the Rebellion my lodgings have never been fixed, 
spring is back, but the traveler not yet returning.
Waters rise on Yufu Shore,
clouds darken Musk Mountain.
On half my scalp my combed hair is white, 
passing my brows, the cane I lean on is mottled. 
Those I see include many sent on missions --
of each and every one I ask about Han Pass."
98,入宅三首（其三）,宋玉归州宅，云通白帝城。吾人淹老病，旅食岂才名。峡口风常急，江流气不平。只应与儿子，飘转任浮生。,Moving Into My Cottage III,"Song Yu's dwelling in Guizhou,
its clouds reach all the way to White Emperor Castle. 
I myself linger here, aging and sick,
a wayfarer's meals, but hardly with Song's talent and fame. 
At the mouth of the gorges the wind always blows hard, 
the river flows on, vapors never at peace.
All I should do is go with my sons,
swept along, giving myself to this life adrift."
99,入宅三首（其一）,奔峭背赤甲，断崖当白盐。客居愧迁次，春酒渐多添。花亚欲移竹，鸟窥新卷帘。衰年不敢恨，胜概欲相兼。,"
Moving Into My Cottage I","Looming up sharply, Red Shell at my back; 
facing White Salt Cliff, a sheared-off slope.
A wayfarer's lodging, ashamed to be changing place,
spring's colors gradually increase.
Flowers press upon bamboo to be transplanted, 
birds peer in past newly rolled up curtains.
I dare not resent my declining years -
this magnificent view will be together with me."
100,上白帝城二首（其二）,白帝空祠庙，孤云自往来。江山城宛转，栋宇客徘徊。勇略今何在，当年亦壮哉！后人将酒肉，虚殿日尘埃。谷鸟鸣还过，林花落又开。多惭病无力，骑马入青苔。,"
Climbing White Emperor Castle II","An empty shrine to the White Emperor 
where lone clouds come and go of themselves. 
River and mountains, the walls bend round; 
beam and roof, here the traveler lingers. 
Where now are those daring stratagems? - 
back then he was bold indeed!
Men in aftertimes brought meat and ale,
but the deserted hall grows ever more dusty. 
Birds from the valley still pass by singing, 
flowers in the groves fall and bloom again.
Much ashamed that I have no strength in my sickness,
I ride my horse onto the green moss."
101,上白帝城二首（其一）,江城含变态，一上一回新。天欲今朝雨，山归万古春。英雄余事业，衰迈久风尘。取醉他乡客，相逢故国人。兵戈犹拥蜀，赋敛强输秦。不是烦形胜，深惭畏损神。,"
Climbing White Emperor Castle I","The River city offers changing forms, 
each time I climb the walls it is new.
The heavens are ready to rain this morning,
the mountains send away an eternal spring. 
The lingering achievements of heroes,
I waste away, too long in the windblown dust. 
Getting drunk here, a traveler from another land,
I meet someone from my homeland. 
Arms still press around upon Shu, 
taxes are forcibly shipped to Qin.
It is not that I find this splendid scene wearisome,
but I fear lest deep shame harm my spirit."
102,巫山县汾州唐使君十八弟宴别兼诸公携酒乐相送率题小诗留于屋壁,卧病巴东久，今年强作归。故人犹远谪，兹日倍多违。接宴身兼杖，听歌泪满衣。诸公不相弃，拥别借光辉。,"At Wu Mountain County Governor Tang of Fenzhou Holds a Parting Banquet, and Various Gentlemen Bring Ale and Musicians to See Me Off; I Dashed Off This Little Poem and Left It On the Wall","Long I lay ill in eastern Ba,
now I force myself to return home.
My old friend is still banished here far away,
this day increasing my sense that things have gone often awry. 
Attending the banquet, body together with cane,
listening to the songs, tears fill my robes. 
These gentlemen have not abandoned me,
surrounding me at parting, I borrow their illustriousness."
103,登岳阳楼,昔闻洞庭水，今上岳阳楼。吴楚东南坼，乾坤日夜浮。亲朋无一字，老病有孤舟。戎马关山北，凭轩涕泗流。, Climbing Yueyang Tower,"I heard long ago of Dongting's waters, 
and this day I climb Yueyang Tower.
Wu and Chu split apart in the southeast,
Heaven and Earth float day and night. 
From kin and friends not a single word, 
old and sick, I do have a solitary boat. 
War-horses north of barrier mountains,
I lean on the railing, my tears streaming down."
104,登舟将适汉阳,春宅弃汝去，秋帆催客归。庭蔬尚在眼，浦浪已吹衣。生理飘荡拙，有心迟暮违。中原戎马盛，远道素书稀。塞雁与时集，樯乌终岁飞。鹿门自此往，永息汉阴机。,Getting On a Boat to Go Off to Hanyang,"I abandon you, my spring abode, and go off- 
the autumn sail hastens the wayfarer's return. 
The vegetables in the yard are still in my eyes,
as waves by the shore already blow on my robes. 
In making a living, tossed about, inept;
my heart has a goal, in twilight years gone awry. 
On the central plain warhorses abound,
letters come seldom across the distant roads. 
Frontier geese gather with the season,
the crow weathervane on the mast flies all year long. 
From here on I will go to Deergate
forever putting to rest the motives at Hanyin."
105,地隅,江汉山重阻，风云地一隅。年年非故物，处处是穷途。丧乱秦公子，悲凉楚大夫。平生心已折，行路日荒芜。,The Corner of the Earth,"At Yangzi and Han, blocked by mountains in layers, 
wind and clouds, a corner of the earth.
From year to year, no familiar thing,
wherever I go, that is road's end.
In death and destruction, Qin's young noble; 
grieving and cold, Chu's grand master.
My heart as it used to be has already broken,
and the road I travel gets daily more choked with weeds."
106,发刘郎浦,挂帆早发刘郎浦，疾风飒飒昏亭午。舟中无日不沙尘，岸上空村尽豺虎。十日北风风未回，客行岁晚晚相催。白头厌伴渔人宿，黄帽青鞋归去来。,Setting Out From Master Liu's Shore,"We set the sail and started early from Master Liu's Shore, 
the swift winds were whistling, darkening the noon.
In the boat not a day goes by but there is dust and sand,
deserted villages on the shore all with jackals and tigers.

For ten days the north wind has blown, and the wind has not yet shifted,
the traveler goes on late in the year, and the lateness hurries him on.
White-haired, I am weary of spending the night a companion of fishermen,
with yellow hat and green footwear let me go home!"
107,泛江,方舟不用楫，极目总无波。长日容杯酒，深江净绮罗。乱离还奏乐，飘泊且听歌。故国流清渭，如今花正多。,Adrift on the River,"My double boat uses no oars,
as far as I can see, no waves anywhere. 
The long days have room for a cup of ale,
the deep River, figured satins clear.
In war and parting music is still performed, 
as I drift about, I listen to singing a while. 
My homeland is where the clear Wei flows,
where nowadays the flowers are at their fullest."
108,更题,只应踏初雪，骑马发荆州。直怕巫山雨，真伤白帝秋。群公苍玉佩，天子翠云裘。同舍晨趋侍，胡为淹此留。, Another on the Same,"I'm sure I'll tread through the first snows
when I ride my horse, setting forth from Jingzhou.
I fear the rains of Wu Mountain, 
and am truly pained by autumn of White Emperor Castle. 
Gray pendants of jade on all the lords,
the Son of Heaven's cape of kingfisher cloud.
Those of the same bureau rush to serve in morning,
so why am I lingering here?"
109,归雁,闻道今春雁，南归自广州。见花辞涨海，避雪到罗浮。是物关兵气，何时免客愁。年年霜露隔，不过五湖秋。,"Wild Geese Returning in Migration
","I've heard tell that this spring's wild geese,
make their southern return from Guangzhou. 
Seeing flowers they leave the South China Sea,
fleeing the snow, they reached Mount Luofu. 
These creatures are bound with war's weather, 
when will they ever escape the wayfarer's sorrows? 
Every year beyond the frost and dew
they did not get past the Five Lakes in autumn."
110,江汉,江汉思归客，乾坤一腐儒。片云天共远，永夜月同孤。落日心犹壮，秋风病欲疏。古来存老马，不必取长途。,Yangzi and Han,"At Yangzi and Han, a traveler longing to go home, 
between Earth and Heaven, one Confucian hack. 
A puff of cloud, Heaven shares such distance;
the long night, moon the same in solitude. 
In the setting sun, the heart still vigorous, 
in autumn wind, sickness almost cured.
From ancient days, when taking care of old horses,
one has not made them take to the long road."
111,久客,羁旅知交态，淹留见俗情。衰颜聊自哂，小吏最相轻。去国哀王粲，伤时哭贾生。狐狸何足道，豺虎正纵横。,Long a Wayfarer,"From my travels I understand how friends are treated, 
in lingering on, I have seen the ordinary sentiments. 
With aging looks I mock myself a while,
minor clerks treat me with utmost contempt. 
Leaving the capital made Wang Can lament; 
pain at the times brought Jia Yi to weep.
But the foxes aren't even worth mentioning
since tigers and jackals run rampant."
112,山馆,南国昼多雾，北风天正寒。路危行木杪，身远樊云端。山鬼吹灯灭，厨人语夜阑。鸡鸣问前馆，世乱敢求安。,A Mountain Inn,"In southern lands, much fog in broad daylight, 
a north wind, the weather now is cold.
the road is steep, I walk among treetops,
my person remote, I spend the night at clouds' edge. 
Mountain goblins blow out my lamp,
people in the kitchen talk as night ends. 
When the cock crows, I ask of the inn ahead,
dare I seek security in troubled times?"
113,水宿遣兴奉呈群公,鲁钝仍多病，逢迎远复迷。耳聋须画字，发短不胜篦。泽国虽勤雨，炎天竟浅泥。小江还积浪，弱缆且长堤。归路非关北，行舟却向西。暮年漂泊恨，今夕乱离啼。童稚频书札，盘餐讵糁藜。我行何到此，物理直难齐。高枕翻星月，严城叠鼓鞞。风号闻虎豹，水宿伴凫鹥。异县惊虚往，同人惜解携。蹉跎长泛鹢，展转屡鸣鸡。嶷嶷瑚琏器，阴阴桃李蹊。余波期救涸，费日苦轻赍。支策门阑邃，肩舆羽翮低。自伤甘贱役，谁愍强幽栖。巨海能无钓，浮云亦有梯。勋庸思树立，语默可端倪。赠粟囷应指，登桥柱必题。丹心老未折，时访武陵溪。,Expressing What Stirred Me while Spending the Night on the Water: Respectfully Presented to Various Gentlemen,"Stupid and dull, still often sick,
in social exchanges, erring because of distance.
Gone deaf, I have to have characters written out,
my hair so thin it can't take a comb.
Though this watery land works hard at raining,
in the end this hot summer weather leaves but shallow mud. 
The little rivers still have high waves,
I tie my pliant mooring for the while on the long embankment. 
This road is not the one back to north of the passes,
my boat instead goes toward the west.
In my twilight years, the bitterness of being swept along,
this evening, weeping from war and separation.
My children often write urgent letters,
not having even gruel with goosefoot for dinner. 
How did I come to this point? -
the pattern of things is really hard to regard with equanimity. 
I rest apart, stars and moon toss in the waves,
city under curfew, the repeated rolling of drums. 
In wind's howling I hear tigers and leopards,
I sleep on the water, companion of ducks and gulls.
I am surprised that I've gone to this strange land for nothing, 
I regret parting from like-minded friends.
Ever on my egret prow, time slips away,
the rooster calls out frequently as I toss and turn.
Of high virtue, these hulian vessels,
darkened by shadow, the path to peach and plum.
In the remaining waves I hope to be saved from drying out,
I waste time suffering from a shortage of cash.
For one supported by a cane the gates are remote, 
as for riding a palanquin, my pinions droop.
I feel sad for myself, glad to undertake menial tasks - 
who sympathizes with my efforts to live in seclusion? 
Can the huge ocean lack anything to fish for? - 
there is even a ladder to the floating clouds.
I long to establish some meritorious deed,
whether I speak or am silent, you can see the mark of this.
In giving grain one should point to a silo,
stepping on the bridge, I will surely inscribe the pillar. 
My loyal heart is not broken in old age,
visit me sometime at the creek in Wuling."
114,送司马入京见吴若本,群盗至今日，先朝忝从臣。叹君能恋主，久客羡归秦。黄阁长司谏，丹墀有故人。向来论社稷，为话涕沾巾。,"In Baxi Hearing that the Palace Has Been Retaken, Seeing Assistant Ban Off to the Capital I","I've heard that the ancestral temple has been retaken, 
ringing coach-bells return from Shan.
The whole capital looks on the yellow canopy,
the central palace draws in red gowns. 
Beyond Jian'ge spring skies are far,
in Ba West emissaries with edicts are few.
I think on you, passing through the turmoil of the age,
on a single horse heading toward the royal domain."
115,送司马入京见吴若本,高斋常见野，愁坐更临门。十月山寒重，孤城月水昏。葭萌氐种迥，左担犬戎存。终日忧奔走，归期未敢论。,"
In Baxi Hearing that the Palace Has Been Retaken, Seeing Assistant Ban Off to the Capital II","Bands of marauders have continued to this day, 
in the previous reign I shamed the attendants. 
I sigh that you can so love your ruler,
long a wayfarer, I envy your return to Qin.
In the Yellow Tower I was long in charge of remonstrance, 
in the Cinnabar Court I still have old friends.
I have always considered the Altars of Earth and Grain,
when I talk about them, tears moisten my kerchief."
116,夜闻觱篥,夜闻觱篥沧江上，衰年侧耳情所向。邻舟一听多感伤，塞曲三更欻悲壮。积雪飞霜此夜寒，孤灯急管复风湍。君知天地干戈满，不见江湖行路难。,Hearing the Reed-horn by Night,"By night I heard the reed-horn upon the gray river,
in my waning years I cocked my ears, my feelings drawn to it. 
Once listening to the neighboring boat, I was stirred to much pain,
frontier tunes at midnight, brave melancholy comes suddenly.

From the piled snow and flying frost this night is cold, 
a lone lamp, the shrill pipe, and windblown surge.
You know that all Heaven and Earth are filled with arms,
yet have you not seen ""hard traveling"" upon the river and lakes?"
117,又示两儿,令节成吾老，他时见汝心。浮生看物变，为恨与年深。长葛书难得，江州涕不禁。团圆思弟妹，行坐白头吟。,Another to My Two Sons,"This fine festival completes my old age, 
some day to come will reveal your hearts. 
In this life adrift I watch things change,
the resentment I feel is as deep as my years.
Letters are hard to get from Changge,
as for Jiangzhou, my tears won't be stopped.
I long for reunion with brother and sister,
sitting and walking, a ""Song of White Hair."""
118,元日示宗武,汝啼吾手战，吾笑汝身长。处处逢正月，迢迢滞远方。飘零还柏酒，衰病只藜床。训喻青衿子，名惭白首郎。赋诗犹落笔，献寿更称觞。不见江东弟，高歌泪数行。,"On New Year's Day, for Zongwu","You cry at how my hands tremble with age, 
I smile at how your body grows tall.
We have met the first month in this place and that,
remote, we linger in a faraway land.
As we are swept along, the cypress-needle ale comes again, 
sick and frail, I have only a bed woven of goosefoot.
In teaching I instruct a lad with green lapels,
for reputation, I am ashamed to be a white-haired Director. 
Still I put my brush to paper composing poems,
and once again you offer me a toast to wish me long life. 
I do not see my younger brother in the Southeast,
I sing out loud, with several tracks of tears."
119,舟一有中字出江陵南浦奉寄郑少尹审,更欲投何处，飘然去此都。形骸元土木，舟楫复江湖。社稷缠妖气，干戈送老儒。百年同弃物，万国尽穷途。雨洗平沙静，天衔阔岸纡。鸣螀随泛梗，别燕起秋菰。栖托难高卧，饥寒迫向隅。寂寥相煦沫，浩荡报恩珠。溟涨鲸波动，衡阳雁影徂。南征问悬榻，东逝想乘桴。滥窃商歌听，时忧卞泣诛。经过忆郑驿，斟酌旅情孤。,In My Boat I Set Out From the Southern Bank of Jiangling; Respectfully Sent to the ViceGovernor Zheng Shen,"Where will I put up next?-
I leave this metropolis, swept along.
My form and frame, essentially earth or wood,
boat and oar again on the river and lakes.
Altars of Earth and Grain, entwined by vapors of witchery, 
shield and pike see this old scholar on his way.
Life's hundred years, same as something thrown away,
ten thousand domains, at the end of my road everywhere. 
Rains wash level sands clear,
the heavens swallow the broad shore winding. 
Singing cicadas go with a stick adrift,
departing swallows rise from autumn wild rice. 
Finding brief lodging, it is hard to rest aloof, 
starving and cold, I am forced into the corner. 
In dreary solitude, those who blow froth,
swept through vastness, the pearl that repays kindness.
the oceans flood over, Leviathan waves stir, 
toward Hengyang the outlines of wild geese fare. 
Journeying southward I seek the couch hung up,
going off eastward, I imagine riding the raft.
Rashly I hope that my song in the shang mode will be heeded,
at times I worry about the punishment that made Bian He weep. 
In my passage I recall Zheng's welcome lodges,
pouring ale, you console the loneliness of my feelings of travel."
120,舟月对驿近寺,更深不假烛，月朗自明船。金剎青枫外，朱楼白水边。城乌啼眇眇，野鹭宿娟娟。皓首江湖客，钩帘独未眠。,Moonlight in My Boat Facing a Temple Near the Post Station ,"The hour is late, I do not use a candle,
the moon is radiant, lighting my boat by itself.
Gilded pagoda beyond the green maples,
a vermilion building beside white waters. 
Crows on the city wall caw faint in the distance,
an egret in the wilds spends the night, charming. 
Hoary-headed sojourner on the river and lakes,
hooks up his curtain and alone does not sleep. "
121,舟中,风餐江柳下，雨卧驿楼边。结缆排鱼网，连樯并米船。今朝云细薄，昨夜月清圆。飘泊南庭老，只应学水仙。,In My Boat,"I dine in the wind beneath river willows,
I lie in the rain beside the post station building. 
Tying their moorings, fishing nets line up,
masts in series, rice boats together.
This morning the clouds are wispy and thin, 
last night the moon was clear and round.
Tossed drifting along, I grow old in southern lands,
I should just study to become a river immortal."
122,次晚洲,参错云石稠，坡陁风涛壮。晚洲适知名，秀色固异状。棹经垂猿把，身在度鸟上。摆浪散帙妨，危沙折花当。羁离暂愉悦，羸老反惆怅。中原未解兵，吾得终疏放。,Reaching Wan Isle,"All mixed together, rock and cloud are thick, 
heaving and crashing, wind-blown billows strong.
I just learned the name of Wan Isle,
its splendid beauty is indeed of a different form. 
Our oars pass the grasp of hanging gibbons,
our bodies are above the birds crossing the sky. 
Tossing waves, opening my books prevented,
insecure sands, for snapping flowers just right. 
On travels away from home, short-lived delights, 
feeble and old, it turns instead to depression. 
Arms have not ceased on the Central Plain,
can I finally get to feel relaxed ease?"
123,官亭夕坐戏简颜十少府,南国调寒杵，西江浸日车。客愁连蟋蟀，亭古带蒹葭。不返青丝鞚，虚烧夜烛花。老翁须地主，细细酌流霞。,Sitting in the Official Pavilion in the Evening: A Playful Note to Sheriff Yan,"The southern lands, cold-weather pestles in harmony, 
West River soaks the sun carriage.
The wayfarer's melancholy is linked to the crickets,
the pavilion is ancient, lined by reeds and rushes 
Your blue silk reins have not turned back here, 
the night candle's flame burns for nothing.
this old man awaits the host
to pour out fine streams of drifting auroras."
124,归梦,道路时通塞，江山日寂寥。偷生唯一老，伐叛已三朝。雨急青枫暮，云深黑水遥。梦归归未得，不用楚辞招。,Dream of Return,"The road is sometimes open, sometimes blocked, 
rivers and mountains grow more dreary day to day. 
Saving my life, just one old man,
already three reigns attacking the rebels.
The rain drives hard, twilight of Greenmaple, 
clouds deep, Blackwaters far.
I dream of return, but have not returned,
no use that the Lyrics of Chu summon me."
125,湖中送敬十使君适广陵,相见各头白，其如离别何。几年一会面，今日复悲歌。少壮乐难得，岁寒心匪他。气缠霜匣满，冰置玉壶多。遭乱实漂泊，济时曾琢磨。形容吾校老，胆力尔谁过？秋晚岳增翠，风高湖涌波。骞腾访知己，淮海莫蹉跎。,On the Lake Seeing Off Prefect Jing On His Way to Guangling ,"When we meet, each of us is white-haired,
but separation can't be helped.
In how many years do we meet even once? -
today I sing out sadly again.
Hard to again find joys of youth and one's prime, 
in the cold of the year our hearts are as brothers. 
The aura surrounding the frosty sword-case is full,
the ice is much, set in a pot of jade.
Meeting upheavals, I have been tossed along indeed, 
you have honed yourself to rescue the age.
In appearance I look the older,
in force of courage who can surpass you?
Autumn is late, the great mountains here increase their green, 
the wind is high, waves surge on the lake.
Mounting into flight, you will visit friends,
on the seas and the Huai let not time slip past."
126,南征,春岸桃花水，云帆枫树林。偷生长避地，适远更沾襟。老病南征日，君恩北望心。百年歌自苦，未见有知音。,Journeying South,"Spring shores, waters of peach blossoms, 
cloud-like sail, forests of maple trees.
Saving my life, ever seeking a refuge,
I go off far, again soaking my gown with tears. 
Old and sick, days of journeying south,
my ruler's grace, a heart that gazes north. 
Life's hundred years, singing of my suffering,
I have never seen a true understanding friend."
127,宿白沙驿·初过湖南五里,水宿仍余照，人烟复此亭。驿边沙旧白，湖外草新青。万象皆春气，孤槎自客星。随波无限月，的的近南溟。,Staying Over at White Sands Post Station,"I spend nights on the water, now still in last sunshine, 
the smoke of men's dwellings, and then this pavilion. 
Beside the station, sands white as before,
beyond the lake, the grass turns fresh green.
The million images-all springtime's vapor;  
on a lone raft, I myself am the wandering star.
Along with the waves, the moonlight boundless,
and on its sparkling I draw near to the Southern Deeps."
128,宿青草湖,洞庭犹在目，青草续为名。宿桨依农事，邮签报水程。寒冰争倚薄，云月递微明。湖雁双双起，人来故北征。,Spending the Night on Green Grass Lake ,"Lake Dongting is still in my eyes,
""Green Grass"" is its name as we continue on.
Overnight oars beside farming work,
the post station notice tells the stages of the water journey.
Cold ice floes compete to draw near, 
cloudy moon alternately faint then bright.
Lake geese rise in pair after pair,
when someone comes, on purpose they fare on north."
129,宴王使君宅题二首（其二）,泛爱容霜发，留欢卜夜闲。自吟诗送老，相劝酒开颜。戎马今何地，乡园独旧山。江湖堕清月，酩酊任扶还。,"
Written on a Feast at Governor Wang's Residence II","With your general affection, you accept one with frosty hair, 
making me stay for pleasure, you bar the gate by night.
I myself chant poems to go along with me through old age,
at your urging, ale makes me smile.
Warhorses are now everywhere,
in your native garden, alone at your former hill. 
On the rivers and lakes clear moonlight sinks,
you have someone help me back, completely drunk."
130,宴王使君宅题二首（其一）,汉主追韩信，苍生起谢安。吾徒自漂泊，世事各艰难。逆旅招邀近，他乡思绪宽。不才甘朽质，高卧岂泥蟠。,Written on a Feast at Governor Wang's Residence I,"Han's ruler went after Han Xin,
the common folk roused Xie An.
My sort is just tossed along,
the situation of the age brings hardship to each. 
My lodgings were close for your invitation,
in a strange land my broodings are eased. 
Lacking talent, I accept my decayed condition,
my resting aloof is no coiling in the mud."
131,江南逢李龟年,岐王宅里寻常见，崔九堂前几度闻。正是江南好风景，落花时节又逢君。,Meeting Li Guinian in Jiangnan,"In the lodgings of the Prince of Qi I saw you commonly,
at the head of the hall of Cui Nine I heard you many times. 
It's really true that in Jiangnan the scenery is fine,
and in the season of falling flowers I meet you once again."
132,老病,老病巫山里，稽留楚客中。药残他日裹，花发去年丛。夜足沾沙雨，春多逆水风。合分双赐笔，犹作一飘蓬。,Old and Sick,"Old and sick in the Wu Gorges, 
staying on, a sojourner in Chu.
Some medicine remains in wrappers from other days,
flowers bloom from last year's clumps. 
Night brings plenty of sand-wetting rain, 
spring has much wind against the current.
I should leave aside my pair of presented brushes,
I am still one wind-tossed dandelion puff."
